Date,Country,Opponent,GoalsScored,GoalsReceived,Venue,Competition,IsHome,ExtraTime,Penalties,PenScored,PenReceived
2007-06-28,Paraguay,Colombia,5,0,Maracaibo,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-02,Paraguay,USA,3,1,Barinas,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-05,Paraguay,Argentina,0,1,Barquisimeto,Copa America,FALSE,FALSE,FALSE,0,0
2007-07-08,Paraguay,Mexico,0,6,Maturin,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-03,Paraguay,Ecuador,0,0,Santa Fe,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-09,Paraguay,Brazil,2,2,Cordoba,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-13,Paraguay,Venezuela,3,3,Salta,Copa America,FALSE,FALSE,FALSE,0,0
2011-07-17,Paraguay,Brazil,0,0,La Plata,Copa America,FALSE,TRUE,TRUE,2,0
2011-07-20,Paraguay,Venezuela,0,0,Mendoza,Copa America,FALSE,TRUE,TRUE,5,3
2011-07-24,Paraguay,Uruguay,0,3,Buenos Aires,Copa America,FALSE,FALSE,FALSE,0,0
1998-06-21,Jamaica,Argentina,0,5,Paris,FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-10-16,Jamaica,Mexico,1,2,Ciudad de Mexico,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1996-11-17,Jamaica,Mexico,1,0,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-03-02,Jamaica,USA,0,0,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-04-13,Jamaica,Mexico,0,6,Ciudad de Mexico,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-05-11,Jamaica,Costa Rica,1,3,Tibas,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-09-14,Jamaica,Costa Rica,1,0,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
1997-10-03,Jamaica,USA,1,1,Washington DC,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
1997-11-16,Jamaica,Mexico,0,0,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-03-25,Jamaica,Mexico,0,4,Ciudad de Mexico,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-06-16,Jamaica,USA,0,0,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-06-20,Jamaica,Costa Rica,1,2,San Jose,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-09-02,Jamaica,Mexico,1,2,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2001-10-07,Jamaica,USA,1,2,Foxboro,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2001-11-11,Jamaica,Costa Rica,0,1,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2004-08-18,Jamaica,USA,1,1,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2004-11-17,Jamaica,USA,1,1,Columbus,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2008-09-06,Jamaica,Mexico,0,3,Ciudad de Mexico,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2008-10-11,Jamaica,Mexico,1,0,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2012-09-07,Jamaica,USA,2,1,Kingston,Qualifiers FIFA World Cup,TRUE,FALSE,FALSE,0,0
2012-09-11,Jamaica,USA,0,1,Columbus,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2013-02-06,Jamaica,Mexico,0,0,Ciudad de Mexico,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
2013-03-26,Jamaica,Costa Rica,0,2,San Jose,Qualifiers FIFA World Cup,FALSE,FALSE,FALSE,0,0
